지표명,구분유형,sex,agegroup,값,단위,se,n,출처,대상,기간
현재흡연율,연령대,,70+,6.7,%,0.0047978734644854,3413.0,KNHANES 제9기,전국민,2022+2023+2024
현재흡연율,성별×연령대,1.0,19-29,27.4,%,0.0162362914934806,877.0,KNHANES 제9기,전국민,2022+2023+2024
현재흡연율,성별×연령대,1.0,30-39,28.1,%,0.0169000220489763,885.0,KNHANES 제9기,전국민,2022+2023+2024
현재흡연율,성별×연령대,1.0,40-49,38.2,%,0.0163907212408819,1153.0,KNHANES 제9기,전국민,2022+2023+2024
현재흡연율,성별×연령대,1.0,50-59,36.2,%,0.0151383504242421,1285.0,KNHANES 제9기,전국민,2022+2023+2024
현재흡연율,성별×연령대,1.0,60-69,27.8,%,0.0120728504861108,1595.0,KNHANES 제9기,전국민,2022+2023+2024
현재흡연율,성별×연령대,1.0,70+,14.5,%,0.0107735996155651,1501.0,KNHANES 제9기,전국민,2022+2023+2024
현재흡연율,성별×연령대,2.0,19-29,7.4,%,0.0091266564703932,1038.0,KNHANES 제9기,전국민,2022+2023+2024
현재흡연율,성별×연령대,2.0,30-39,5.6,%,0.0075123101945282,1081.0,KNHANES 제9기,전국민,2022+2023+2024
현재흡연율,성별×연령대,2.0,40-49,5.1,%,0.0062890869155898,1586.0,KNHANES 제9기,전국민,2022+2023+2024
현재흡연율,성별×연령대,2.0,50-59,4.9,%,0.0060140411692586,1824.0,KNHANES 제9기,전국민,2022+2023+2024
현재흡연율,성별×연령대,2.0,60-69,2.9,%,0.0040113961176948,2094.0,KNHANES 제9기,전국민,2022+2023+2024
현재흡연율,성별×연령대,2.0,70+,1.0,%,0.0022745577397766,1912.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,전체,,,60.0,%,0.0051509082412951,14989.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,성별,1.0,,69.3,%,0.0064967616706794,6992.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,성별,2.0,,49.6,%,0.0065436810516589,7997.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,연령대,,19-29,65.5,%,0.0127390932128896,1847.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,연령대,,30-39,64.7,%,0.0135826857169131,1912.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,연령대,,40-49,67.4,%,0.0104592443439771,2651.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,연령대,,50-59,60.5,%,0.0104746756764815,2908.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,연령대,,60-69,53.6,%,0.0096274755792832,3208.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,연령대,,70+,39.0,%,0.0109233556875949,2463.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,성별×연령대,1.0,19-29,67.1,%,0.0174365407476048,840.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,성별×연령대,1.0,30-39,70.3,%,0.0188628298523391,870.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,성별×연령대,1.0,40-49,77.4,%,0.0129785307324337,1124.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,성별×연령대,1.0,50-59,71.8,%,0.0138433758481901,1263.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,성별×연령대,1.0,60-69,68.0,%,0.0130221183861088,1536.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,성별×연령대,1.0,70+,54.4,%,0.0155770913236597,1359.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,성별×연령대,2.0,19-29,63.8,%,0.0174949784062989,1007.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,성별×연령대,2.0,30-39,58.2,%,0.0167119067258963,1042.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,성별×연령대,2.0,40-49,57.0,%,0.0139796015658845,1527.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,성별×연령대,2.0,50-59,48.1,%,0.0137617274707107,1645.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,성별×연령대,2.0,60-69,37.1,%,0.0125896429467563,1672.0,KNHANES 제9기,전국민,2022+2023+2024
월간음주율,성별×연령대,2.0,70+,21.4,%,0.0140630879770805,1104.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,전체,,,24.23,kg/㎡,0.0397660135487661,16937.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,성별,1.0,,25.02,kg/㎡,0.0523915241238137,7355.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,성별,2.0,,23.44,kg/㎡,0.0524624991806049,9582.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,연령대,,19-29,23.81,kg/㎡,0.1271581044641323,1921.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,연령대,,30-39,24.46,kg/㎡,0.1142024939096279,1979.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,연령대,,40-49,24.51,kg/㎡,0.0816339271238612,2763.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,연령대,,50-59,24.34,kg/㎡,0.0740593225562412,3145.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,연령대,,60-69,24.2,kg/㎡,0.0601126173079443,3705.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,연령대,,70+,23.94,kg/㎡,0.0651404981783108,3424.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,성별×연령대,1.0,19-29,25.16,kg/㎡,0.1866175043355442,881.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,성별×연령대,1.0,30-39,25.74,kg/㎡,0.1525616353251599,887.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,성별×연령대,1.0,40-49,25.74,kg/㎡,0.1134356385087911,1171.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,성별×연령대,1.0,50-59,25.07,kg/㎡,0.1014501285866453,1302.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,성별×연령대,1.0,60-69,24.29,kg/㎡,0.0833739995078191,1595.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,성별×연령대,1.0,70+,23.61,kg/㎡,0.0832718464539294,1519.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,성별×연령대,2.0,19-29,22.3,kg/㎡,0.1445102033399542,1040.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,성별×연령대,2.0,30-39,23.04,kg/㎡,0.1552445187762798,1092.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,성별×연령대,2.0,40-49,23.22,kg/㎡,0.1011312249141725,1592.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,성별×연령대,2.0,50-59,23.61,kg/㎡,0.0946727820833176,1843.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,성별×연령대,2.0,60-69,24.12,kg/㎡,0.0866344341725114,2110.0,KNHANES 제9기,전국민,2022+2023+2024
평균BMI,성별×연령대,2.0,70+,24.19,kg/㎡,0.088105374219558,1905.0,KNHANES 제9기,전국민,2022+2023+2024
스트레스인지율,전체,,,22.4,%,,231588.0,CHS 2025,전국민,2025
스트레스인지율,성별,1.0,,21.2,%,,106766.0,CHS 2025,전국민,2025
스트레스인지율,성별,2.0,,23.5,%,,124822.0,CHS 2025,전국민,2025
스트레스인지율,연령대,,19-29,23.4,%,,19523.0,CHS 2025,전국민,2025
스트레스인지율,연령대,,30-39,29.5,%,,24227.0,CHS 2025,전국민,2025
스트레스인지율,연령대,,40-49,28.6,%,,31381.0,CHS 2025,전국민,2025
스트레스인지율,연령대,,50-59,22.5,%,,42639.0,CHS 2025,전국민,2025
스트레스인지율,연령대,,60-69,16.3,%,,53392.0,CHS 2025,전국민,2025
스트레스인지율,연령대,,70+,14.4,%,,60426.0,CHS 2025,전국민,2025
스트레스인지율,성별×연령대,1.0,19-29,19.3,%,,9693.0,CHS 2025,전국민,2025
스트레스인지율,성별×연령대,1.0,30-39,27.1,%,,12062.0,CHS 2025,전국민,2025
스트레스인지율,성별×연령대,1.0,40-49,28.6,%,,14970.0,CHS 2025,전국민,2025
스트레스인지율,성별×연령대,1.0,50-59,23.2,%,,19833.0,CHS 2025,전국민,2025
스트레스인지율,성별×연령대,1.0,60-69,15.3,%,,24915.0,CHS 2025,전국민,2025
스트레스인지율,성별×연령대,1.0,70+,11.5,%,,25293.0,CHS 2025,전국민,2025
스트레스인지율,성별×연령대,2.0,19-29,27.9,%,,9830.0,CHS 2025,전국민,2025
스트레스인지율,성별×연령대,2.0,30-39,32.1,%,,12165.0,CHS 2025,전국민,2025
스트레스인지율,성별×연령대,2.0,40-49,28.7,%,,16411.0,CHS 2025,전국민,2025
스트레스인지율,성별×연령대,2.0,50-59,21.7,%,,22806.0,CHS 2025,전국민,2025
스트레스인지율,성별×연령대,2.0,60-69,17.2,%,,28477.0,CHS 2025,전국민,2025
스트레스인지율,성별×연령대,2.0,70+,16.8,%,,35133.0,CHS 2025,전국민,2025
우울장애유병률,전체,,,3.8,%,,231290.0,CHS 2025,전국민,2025
우울장애유병률,성별,1.0,,2.8,%,,106662.0,CHS 2025,전국민,2025
우울장애유병률,성별,2.0,,4.7,%,,124628.0,CHS 2025,전국민,2025
우울장애유병률,연령대,,19-29,3.8,%,,19509.0,CHS 2025,전국민,2025
우울장애유병률,연령대,,30-39,4.0,%,,24207.0,CHS 2025,전국민,2025
우울장애유병률,연령대,,40-49,3.3,%,,31354.0,CHS 2025,전국민,2025
우울장애유병률,연령대,,50-59,2.9,%,,42607.0,CHS 2025,전국민,2025
우울장애유병률,연령대,,60-69,3.0,%,,53354.0,CHS 2025,전국민,2025
우울장애유병률,연령대,,70+,5.8,%,,60259.0,CHS 2025,전국민,2025
우울장애유병률,성별×연령대,1.0,19-29,2.9,%,,9687.0,CHS 2025,전국민,2025
우울장애유병률,성별×연령대,1.0,30-39,2.7,%,,12051.0,CHS 2025,전국민,2025
우울장애유병률,성별×연령대,1.0,40-49,2.8,%,,14958.0,CHS 2025,전국민,2025
우울장애유병률,성별×연령대,1.0,50-59,2.3,%,,19817.0,CHS 2025,전국민,2025
우울장애유병률,성별×연령대,1.0,60-69,2.5,%,,24901.0,CHS 2025,전국민,2025
우울장애유병률,성별×연령대,1.0,70+,4.1,%,,25248.0,CHS 2025,전국민,2025
우울장애유병률,성별×연령대,2.0,19-29,4.8,%,,9822.0,CHS 2025,전국민,2025
